O*NET-SOC Code,Title,Analytical_Thinking,Emotional_Intelligence,Creativity,Manual_Dexterity,AI_Exposure_Index,Skill_Disruption_Index,Labour_Market_Churn,Repetitiveness,Skill_Diversity,Cognitive_Manual_Ratio,Composite_Risk_Score,Automation_Risk,Cluster
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",0.6197718631178707,0.6799999999999999,0.6233333333333334,0.5608974358974359,0.94,0.97,0.35,0.5,0.06858060655286746,1.8127154704749497,0.5509999999999999,Medium,0
11-9021.00,Construction Managers,0.6653992395437263,0.7857142857142859,0.5800000000000001,0.24038461538461536,0.94,0.97,0.35,0.5,0.20496796173876836,2.743322160279581,0.5640000000000001,Medium,1
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",0.6653992395437263,0.8399999999999999,0.6233333333333334,0.282051282051282,0.94,0.97,0.35,0.5,0.2073167794187714,2.721985909378619,0.5509999999999999,Medium,1
11-9032.00,"Education Administrators, Kindergarten through Secondary",0.8555133079847909,1.0,0.8333333333333334,0.0,0.94,0.97,0.35,0.5,0.4008113284995659,5.3776932718808625,0.488,Medium,1
11-9033.00,"Education Administrators, Postsecondary",0.7110266159695818,0.7671428571428575,0.8333333333333334,0.0,0.94,0.97,0.35,0.5,0.3382313742826112,4.6230056036455345,0.488,Medium,1
11-9041.00,Architectural and Engineering Managers,0.6197718631178707,0.7500000000000001,0.7466666666666667,0.3205128205128205,0.94,0.97,0.35,0.5,0.18146631556166049,2.57940945503125,0.514,Medium,1
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,0.5209125475285171,0.5185714285714285,0.7066666666666667,0.44230769230769224,0.94,0.97,0.35,0.5,0.09964742504136198,1.8530578230103028,0.526,Medium,0
11-9051.00,Food Service Managers,0.5209125475285171,0.7685714285714286,0.5,0.641025641025641,0.94,0.97,0.35,0.5,0.1176737781200633,1.5683117979041288,0.5880000000000001,Medium,0
11-9071.00,Gambling Managers,0.6653992395437263,0.7500000000000001,0.4566666666666667,0.282051282051282,0.94,0.97,0.35,0.5,0.1833616019859213,2.393789188486805,0.601,Medium,0
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",0.5703422053231939,0.7685714285714286,0.6233333333333334,0.19871794871794873,0.94,0.97,0.35,0.5,0.21087833150739171,2.8083534536647523,0.5509999999999999,Medium,1
11-9081.00,Lodging Managers,0.5703422053231939,0.8571428571428572,0.6666666666666666,0.3205128205128205,0.94,0.97,0.35,0.5,0.19881092392609304,2.5522474167699487,0.538,Medium,1
11-9111.00,Medical and Health Services Managers,0.7110266159695818,0.8399999999999999,0.5800000000000001,0.16025641025641024,0.94,0.97,0.35,0.5,0.2573853041385422,3.2275742872597397,0.5640000000000001,Medium,1
11-9121.00,Natural Sciences Managers,0.6653992395437263,0.6799999999999999,0.6666666666666666,0.16025641025641024,0.94,0.97,0.35,0.5,0.22193546181310475,3.0474007853730756,0.538,Medium,1
11-9121.01,Clinical Research Coordinators,0.5703422053231939,0.7857142857142859,0.5,0.0,0.94,0.97,0.35,0.5,0.28828663347286254,3.7121129746507338,0.5880000000000001,Medium,1
11-9121.02,Water Resource Specialists,0.6653992395437263,0.6071428571428572,0.6233333333333334,0.03846153846153849,0.94,0.97,0.35,0.5,0.2579743379326409,3.520911506355295,0.5509999999999999,Medium,1
11-9131.00,Postmasters and Mail Superintendents,0.5703422053231939,0.8571428571428572,0.54,0.0,0.94,0.97,0.35,0.5,0.3097933190150033,3.9349701170621625,0.5760000000000001,Medium,1
